"Schema","Table","Column","What data is it?","Who/what does it describe?","Business purpose","Sensitivity","Personal","Handling requirements"
"Finance","clients","client_id","Client Identification","Client record","To uniquely Identify and reference the client within the system","Confidential","Yes if individual and No of org","Access limited to authorized staff; encrypted at rest; no export to personal devices; audit logging on access"
"Finance","clients","info","Client General Information","Client or Client org","To Identify the customer for business and account purpose","Restricted","Yes","Role-based access only; encryption at rest and in transit; no email/IM transmission; retention policy per org policy; deletion on request (if GDPR applies)"
"Finance","clients","created_at","Date and Time created","Client or Client org","To have a recorded time when it created","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","coa_templates","template_id","Template unique identification","Template Identification","To uniquely Identify and reference the template","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","coa_templates","template_name","Template name","Template name","To Identify the account template","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","coa_templates","description","Template Description","Template description","To provide more details","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","coa_templates","created_at","Date and Time created","Template created time","To have a recorded time when it created","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","coa_template_accounts","template_account_id","Unique Identification","chart of account assigned to a template Identification","To uniquely identify and reference chart of account","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","coa_template_accounts","template_id","Unique Identification on related table","chart of account assigned to a template related table identification","To identify table related","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","coa_template_accounts","account_code","Identification code","chart of account assigned to a template code","To identify account via code","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","coa_template_accounts","account_name","account name","chart of account assigned to a template name","To identify account name","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","coa_template_accounts","account_type","account type","chart of account assigned to a template type","To identify account type","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","charts","chart_id","Unique Identification","account uniquely identification","to Uniquely Identify and reference","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","charts","client_id","Unique Identification on related table","account table related identification","To identify account related table","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","charts","account","account name","account name","To identify account","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","charts","account_code","Identification code","account code","To Identify number","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","charts","type","account type","account type","To identify type","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","charts","is_active","account reusable","account is usable","To check if it still usable","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","charts","created_at","Date and Time created","account time created","To have a recorded time when it created","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","account_roles","role_id","Unique Identification","account role uniquely identification","To Uniquely identify and reference","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","account_roles","chart_id","Unique Identification on related table","account role table related identification","To identify related table","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","account_roles","role_name","role_name","role name","To Identify role name","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","account_roles","created_at","Date and Time created","Role time created","To have a recorded time when it created","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
"Finance","account_properties","property_id","Unique Identification","account properties uniquely identification","To Uniquely identify and reference","Internal","No","Access limited to authorized staff; Standard backup/retention; Audit logging on modification"
